,name,address,point_x,point_y,specify,dataType,tag
43,西湖区小天使幼儿园,浙江省杭州市西湖区双浦镇外张村委旁左侧,120.14808,30.11965,西湖区,幼儿园,tdt
44,文新学前教育集团金地幼儿园,浙江省杭州市西湖区欣然街88东南方向96米,120.06452,30.33291,西湖区,幼儿园,tdt
45,文新学前教育集团紫萱幼儿园,浙江省杭州市西湖区紫宣路308东南方向192米,120.0662,30.32944,西湖区,幼儿园,tdt
46,西溪花园幼儿园竞舟苑园区,浙江省杭州市西湖区晴川街571,120.05138,30.28575,西湖区,幼儿园,tdt
47,新世纪幼儿园,浙江省杭州市西湖区古墩路1105新世纪花苑,120.085917,30.327108,西湖区,幼儿园,tdt
48,转塘小学(凌家桥校区),浙江省杭州市西湖区凌家桥,120.075945,30.139296,西湖区,小学,tdt
49,杭州市大禹路小学甲来路校区,浙江省杭州市西湖区甲来路86,120.06224,30.34223,西湖区,小学,tdt
50,学军小学紫金港校区,浙江省杭州市西湖区萍水西街198,120.0899,30.3027,西湖区,小学,tdt
51,杭州市翠苑第一小学(文华校区),浙江省杭州市西湖区竞舟路299,120.09762,30.29288,西湖区,小学,tdt
52,杭州市三墩镇长桥小学,浙江省杭州市西湖区双桥村徐家塘,120.03008,30.31627,西湖区,小学,tdt
53,文一街小学(政苑校区),浙江省杭州市西湖区政苑小区73幢2号,120.096642,30.299874,西湖区,小学,tdt
54,转塘小学回龙校区,浙江省杭州市西湖区转塘街道南村225号东北方向193米,120.0923,30.12415,西湖区,小学,tdt
55,袁浦东江嘴小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.162462,30.112116,西湖区,小学,tdt
56,杭州市嘉绿苑小学景汇校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.0628,30.35099,西湖区,小学,tdt
57,杭州市行知第二小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.056438,30.295873,西湖区,小学,tdt
58,杭州市文三教育集团定山小学,浙江省杭州市西湖区灵凤街178,120.066207,30.142189,西湖区,小学,tdt
59,杭州市行知小学文二校区,浙江省杭州市西湖区文二路277,120.12633,30.28486,西湖区,小学,tdt
60,文一街小学秀水校区,浙江省杭州市西湖区秀里街306,120.09102,30.32431,西湖区,小学,tdt
61,浙江大学附属第二小学,浙江省杭州市西湖区五常港路469正东方向151米,120.06077,30.30305,西湖区,小学,tdt
62,西湖小学教育集团府苑小学,浙江省杭州市西湖区府苑新村,120.0885,30.27061,西湖区,小学,tdt
63,杭州市三墩小学双桥校区,浙江省杭州市西湖区肖家坝12号,120.035869,30.332421,西湖区,小学,tdt
64,杭州市之江第二小学,浙江省杭州市西湖区文景路330,120.09004,30.16259,西湖区,小学,tdt
65,杭州市星洲第二小学,浙江省杭州市西湖区莲紫路,120.057584,30.333559,西湖区,小学,tdt
66,杭州市学军小学之江校区,浙江省杭州市西湖区梦园街188,120.064912,30.163091,西湖区,小学,tdt
