,name,address,gd_point_x,gd_point_y,region,dataType
1389,宁波市海曙区心爱心幼儿园,海曙区徐家漕路211弄39号,121.495573,29.882563,海曙区,幼儿园
1390,禾儿蒙台梭利幼儿园,海曙区环城西路南段861号,121.524851,29.847485,海曙区,幼儿园
1391,森屿蒙特梭利幼儿园,海曙区春华路928号2号楼,121.460901,29.861799,海曙区,幼儿园
1392,莲桥第幼儿园月湖园区,海曙区解放南路象鼻巷4号,121.547425,29.865577,海曙区,幼儿园
1393,宝韵音乐幼儿园古林镇(华城分园),海曙区薛家南路30号盛世华城,121.503541,29.867313,海曙区,幼儿园
1394,海曙区童洲幼儿园,海曙区厂堂街89号,121.552184,29.876311,海曙区,幼儿园
1395,宁波市海曙区爱菊云朵幼儿园,海曙区三市路201号,121.538649,29.855135,海曙区,幼儿园
1396,童蒙园,海曙区环城西路南段29号,121.52243,29.875663,海曙区,幼儿园
1397,佛蒙特双语幼儿园,海曙区望春街道环城西路真和大酒店C座一层,121.522424,29.885836,海曙区,幼儿园
1398,宁波市第二幼儿园(新星路),海曙区青林湾西区115号,121.515802,29.896096,海曙区,幼儿园
1399,H1蜜蜂王国幼儿园,海曙区气象路827号H1,121.507887,29.859746,海曙区,幼儿园
1400,绿茵君尚幼儿园,海曙区新蒲路15号(恒威君尚城),121.461184,29.888509,海曙区,幼儿园
1401,莲桥第幼儿园莲桥园区,海曙区小沙泥街65号,121.551762,29.864079,海曙区,幼儿园
1402,宁波市海曙区赫德双语幼儿园,海曙区解放南路10号,121.550032,29.860381,海曙区,幼儿园
1403,宝韵海悦幼儿园,海曙区薛家南路478,121.498932,29.856914,海曙区,幼儿园
1404,海曙区古林镇蓝天幼儿园,海曙区古林镇中心路113号,121.436497,29.830685,海曙区,幼儿园
1405,琴琴幼儿园(四明西路),海曙区王元暐路26号,121.35442,29.768872,海曙区,幼儿园
1406,海曙区横街中心幼儿园,海曙区横小线东村新银家园东南侧约180米,121.396279,29.854329,海曙区,幼儿园
1407,冯家幼儿园,海曙区宁缝工业区3幢3楼,121.48883,29.821549,海曙区,幼儿园
1408,绿茵幼儿园(芝岭村社区卫生服务站西南),海曙区横街南路46号附近,121.396878,29.850257,海曙区,幼儿园
1409,胜丰幼儿园,海曙区胜丰路106弄4号,121.528216,29.881456,海曙区,幼儿园
1410,翠柏幼儿园,海曙区翠中社区16幢57号105室,121.532465,29.884414,海曙区,幼儿园
1411,德才幼儿园(小梁街),海曙区小梁街37号,121.55063,29.870895,海曙区,幼儿园
1412,蓝精灵幼儿之家,海曙区公园路99弄17号凤栖商务304,121.546754,29.876135,海曙区,幼儿园
1413,高桥镇清沁家园幼儿园,海曙区清沁家园119,121.492904,29.893719,海曙区,幼儿园
1414,宝宝慧郎官幼儿园,海曙区假山新村24幢101号,121.533357,29.874681,海曙区,幼儿园
1415,洪渡幼儿园,海曙区石碶街道石源路8号,121.499574,29.824772,海曙区,幼儿园
1416,宁波海曙段塘育苗幼儿园,海曙区段塘吴家工业区3号799弄,121.514758,29.848309,海曙区,幼儿园
1417,乐乐幼儿园(万金路),海曙区杨家30号,121.507059,29.813647,海曙区,幼儿园
1418,博聪幼儿园,海曙区雅戈尔大道599号,121.491895,29.813877,海曙区,幼儿园
1419,天天乐幼儿园(永丰西路),海曙区环城西路北段245弄39号,121.520486,29.887153,海曙区,幼儿园
1420,鄞州区石矸街道新阳幼儿园,海曙区石契街道东杨村,121.455826,29.796704,海曙区,幼儿园
1421,西洋港幼儿园,海曙区西洋港工业区9号,121.42799,29.825819,海曙区,幼儿园
1422,鄞州区爱心幼儿园,海曙区徐家漕路211弄39号,121.500049,29.883984,海曙区,幼儿园
1423,鄞江镇中心幼儿园(鄞州区鄞江中心卫生院西南),海曙区鄞江镇光溪村官池北路(山水人家南面),121.35564,29.776188,海曙区,幼儿园
1424,宁波市外经贸幼儿园,海曙区筱墙巷22号,121.533466,29.87826,海曙区,幼儿园
1425,宁波市第一幼儿园(常青路98弄),海曙区常青路96柳锦花园,121.528976,29.87046,海曙区,幼儿园
1426,宁波市海曙区石碶波波幼儿园,海曙区车站新村129,121.483311,29.808039,海曙区,幼儿园
1427,新星幼儿园(白岳医院西南),海曙区湖山新村14号,121.424326,29.883318,海曙区,幼儿园
1428,启新幼儿园,海曙区启文路9号,121.532611,29.853006,海曙区,幼儿园
1429,宁波市尹江岸幼儿园,海曙区甬水桥路46号,121.540278,29.856591,海曙区,幼儿园
1430,南雅音乐幼儿园,海曙区南雅街22号,121.524824,29.862368,海曙区,幼儿园
1431,宁波市宝韵音乐幼儿园,海曙区吴家塘路128,121.531806,29.867723,海曙区,幼儿园
1432,宁波市红旗幼儿园,海曙区乌含巷36-5号,121.541961,29.876739,海曙区,幼儿园
1433,宁波市机关第二幼儿园,海曙区鼓楼街道苍水街172号,121.551171,29.876109,海曙区,幼儿园
1434,闻裕顺南苑幼儿园,海曙区南苑街229弄153号,121.526047,29.848876,海曙区,幼儿园
1435,中山艺术幼儿园,海曙区西河街68弄18号,121.546638,29.878465,海曙区,幼儿园
1436,宁波市新芝幼儿园,海曙区永丰西路98弄54号,121.54071,29.888132,海曙区,幼儿园
1437,宁波市海曙区古林镇实验幼儿园,海曙区民渠路190号,121.500999,29.855935,海曙区,幼儿园
1438,宁波骅德源幼儿园,海曙区雅戈尔大道211号,121.504409,29.826376,海曙区,幼儿园
1439,宁波诺丁堡幼儿园,海曙区万利路177号,121.501019,29.81755,海曙区,幼儿园
1440,集士港镇科创幼儿园,海曙区科创北路247号,121.454584,29.85737,海曙区,幼儿园
1441,启博幼儿园,海曙区秀丰路爱姆奇工业园东南侧约60米,121.476854,29.892102,海曙区,幼儿园
1442,宁波市海曙区高桥镇海润佳园幼儿园,海曙区高桥镇新蒲路959号,121.462264,29.882614,海曙区,幼儿园
1443,古林镇蜃蛟幼儿园,海曙区,121.405491,29.814534,海曙区,幼儿园
1444,新欣幼儿园(沁园春天西),海曙区,121.409755,29.778707,海曙区,幼儿园
1445,宁波市海曙区丽象幼儿园,海曙区,121.515654,29.861146,海曙区,幼儿园
1446,洞桥镇中心幼儿园名苑园,海曙区洞桥明苑195,121.414919,29.776789,海曙区,幼儿园
1447,石矸波波幼儿园,海曙区栎社街海曙区栎社小学西北侧约250米,121.48351,29.808125,海曙区,幼儿园
1448,宁波市高塘幼儿园,海曙区孝闻巷48号,121.546166,29.881699,海曙区,幼儿园
1449,宁波市实验幼儿园上院园区,海曙区望春街道青林湾维科上院30号,121.523516,29.900846,海曙区,幼儿园
1450,苍水托儿所,海曙区苍水街与解放北路交叉路口北侧(屠园小区),121.551002,29.876067,海曙区,幼儿园
1451,宁波市海曙区望童幼儿园,海曙区望童北苑9号,121.508204,29.885179,海曙区,幼儿园
1452,国骅东方幼儿园,海曙区万顺路与鄞县大道交叉路口往东北约100米(雅渡新村),121.506096,29.824151,海曙区,幼儿园
1453,宁波市海曙区石砌街道雅悦幼儿园,海曙区杭甬高速(艺韵幼儿园东北侧),121.511593,29.835405,海曙区,幼儿园
1454,宁波市闻裕顺幼儿园江湾城园区,海曙区澄浪南路南塘金茂府东南侧约250米,121.542998,29.851787,海曙区,幼儿园
1455,宁波市第二幼儿园西成园区,海曙区望春街道澄波街12号,121.516329,29.885357,海曙区,幼儿园
1456,俞家幼儿园,海曙区古林镇,121.441432,29.842563,海曙区,幼儿园
1457,宁海县西子嘉宝幼儿园,海曙区桃源街道万兴路与汇通路交叉口西50米路北,121.54979,29.868351,海曙区,幼儿园
