,name,address,point_x,point_y,specify,dataType
83,杭州市嘉绿苑小学嘉绿苑校区,浙江省杭州市西湖区益乐路30号,120.10891,30.27995,西湖区,小学
84,杭州市星洲第二小学,浙江省杭州市西湖区莲紫路,120.057584,30.333559,西湖区,小学
85,杭州市留下小学,浙江省杭州市西湖区留下大街2号,120.04889,30.24153,西湖区,小学
86,杭州市文一教育集团(总校),浙江省杭州市西湖区保俶北路88号,120.13729,30.28974,西湖区,小学
87,杭州市翠苑第二小学,浙江省杭州市西湖区翠苑新村三区63号,120.1163,30.29282,西湖区,小学
88,杭州市育才外国语学校,浙江省杭州市西湖区文二西路698号,120.083031,30.2841,西湖区,小学
89,杭州市第十五中学教育集团(总校),浙江省杭州市西湖区玉古路165号,120.123261,30.269407,西湖区,中学
90,杭州十三中教育集团,浙江省杭州市西湖区教工路155号,120.13,30.28939,西湖区,中学
91,杭州西子实验学校(城区部),浙江省杭州市西湖区曙光路126号,120.13362,30.26726,西湖区,中学
92,保俶塔实验学校高中部,浙江省杭州市西湖区宝石二路,120.14192,30.26605,西湖区,中学
93,常春藤A-LEVEL国际高中,浙江省杭州市西湖区留和路533号,120.00608,30.2088,西湖区,中学
94,保俶塔实验学校申花路校区,浙江省杭州市西湖区竞舟北路189,120.0947,30.31153,西湖区,中学
95,杭州市三墩中学文理校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.067962,30.334925,西湖区,中学
96,杭州学军中学,浙江省杭州市西湖区蒋墩路369,120.06487,30.30032,西湖区,中学
97,之江第一中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.0869,30.162,西湖区,中学
98,杭州英才高级中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.079762,30.253924,西湖区,中学
99,杭州仁和外国语学校,浙江省杭州市西湖区梅灵南路5,120.092409,30.180417,西湖区,中学
100,大禹路九年一贯制中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.07694,30.330944,西湖区,中学
101,杭州市十三中教育集团文溪中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.05227,30.28354,西湖区,中学
102,杭州市之江实验中学,浙江省杭州市西湖区方家路正南方向70米,120.06972,30.16202,西湖区,中学
103,杭州市上泗中学,浙江省杭州市西湖区凌家桥319号,120.0769,30.13944,西湖区,中学
104,杭州市十五中(西溪中学),浙江省杭州市西湖区文三西路668号,120.08579,30.277754,西湖区,中学
105,杭州民办风帆中学,浙江省杭州市西湖区浙江省杭州市西湖区,120.150056,30.265037,西湖区,中学
106,杭州师范大学附属中学国际部,浙江省杭州市西湖区振华路6正北方向146米,120.08351,30.31919,西湖区,中学
107,杭州博雅学院,浙江省杭州市西湖区百家园路128号正南方向53米,120.05665,30.25227,西湖区,中专
108,浙江长征职业技术学院,浙江省杭州市西湖区留和路525,120.01426,30.2098,西湖区,中专
109,杭州科技职业技术学院,浙江省杭州市西湖区毛家桥路26,120.11224,30.28831,西湖区,中专
110,杭州市西湖区博厚职业技术培训学校,浙江省杭州市西湖区池华街330号尚坤云谷中心5层510,120.0659,30.33236,西湖区,中专
111,新世纪经贸专修学院西溪校区,浙江省杭州市西湖区浙江省杭州市西湖区,120.07959,30.254861,西湖区,中专
112,浙江东南外国语职业学校,浙江省杭州市西湖区浙江省杭州市西湖区,120.06126,30.320893,西湖区,中专
113,杭州科技职业技术学院翠苑校区,浙江省杭州市西湖区毛家桥路26号,120.111013,30.288627,西湖区,中专
114,杭州科技职业技术学院(城区校区),浙江省杭州市西湖区毛家桥路26,120.11224,30.28831,西湖区,中专
115,浙江公路技师学院老和山校区,浙江省杭州市西湖区西溪路521,120.10875,30.2711,西湖区,中专
116,浙江省图书馆中等专业函授学校,浙江省杭州市西湖区曙光路73号,120.13168,30.26602,西湖区,中专
