,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
0,3.0,3.0,6.0,105.0,杭州市余杭区大华西溪风情幼儿园,浙江省杭州市余杭区五常街道大华西溪风情小区内,120.0374973,30.27942042,杭州市,余杭区,五常街道,幼儿园,330110.0,学前教育,,01010000208A110000B815F35A66025E408042A81888473E40,120.03750187217618,30.279425240205367,"           format_address2
0  浙江省杭州市余杭区五常街道西溪风情杭州维翰学校"
1,4.0,5.0,9.0,201.0,义乌市廿三里爱的宝幼儿园,义乌市廿三里街道上社新村B17幢,120.1747317,29.33394975,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000E8C8E5CD2E0B5E40E0C116BB7D553D40,120.17485634672221,29.333854828226897,"           format_address2
0  浙江省金华市义乌市廿三里街道武岩路爱的宝幼儿园"
2,7.0,8.0,13.0,314.0,义乌市佛堂小星星幼儿园,佛堂镇小吴溪33栋,120.016575,29.19713846,金华市,义乌市,佛堂镇,幼儿园,330782.0,学前教育,,01010000208A110000A8E9A7900F015E40503082AA77323D40,120.01665207677621,29.197316150225205,"      format_address2
0  浙江省金华市义乌市佛堂镇清润路18号"
3,8.0,9.0,16.0,361.0,宁波市海曙区高桥镇童瑶幼儿园,宁波市海曙区高桥镇宋家漕村20号,121.4894923,29.87922535,宁波市,海曙区,高桥镇,幼儿园,330203.0,学前教育,,01010000208A110000F0977CD7535F5E4070109CE914E13D40,121.48959589766588,29.8792114802265,"             format_address2
0  浙江省宁波市海曙区高桥镇童瑶幼儿园(宋家漕路)晴园"
4,12.0,14.0,23.0,503.0,杭州市余杭区江南春·白云深处幼儿园,余杭街道上文山白云深处别墅区,119.9670737,30.24536868,杭州市,余杭区,余杭街道,幼儿园,,学前教育,,01010000208A110000A8BCFB88E4FD5D40905B5C7BD03E3E40,119.96707811009612,30.245373069935514,"            format_address2
0  浙江省杭州市余杭区余杭街道江南春城金成·白云深处"
5,15.0,18.0,32.0,704.0,义乌市廿三里乐哈哈幼儿园,义乌市廿三里街道后,120.1765066,29.32321032,金华市,义乌市,廿三里街,幼儿园,330782.0,学前教育,,01010000208A110000306327E24B0B5E4040B862E9BD523D40,120.17656428572643,29.322930038706147,"              format_address2
0  浙江省金华市义乌市廿三里街道武梅二街102号后乐小区"
6,19.0,23.0,39.0,836.0,宁波市海曙区古林镇藕池幼儿园,宁波市海曙区古林镇藕池新村2号,121.5056578,29.84236105,宁波市,海曙区,古林镇,幼儿园,330203.0,学前教育,,01010000208A110000F01491B25C605E40A02C49F9A4D73D40,121.50572013196282,29.84243229535418,"         format_address2
0  浙江省宁波市海曙区古林镇藕池幼儿园藕池小学"
7,21.0,26.0,45.0,920.0,义乌市后宅向日葵幼儿园,义乌市后宅街道遗安新村二区3幢,120.0699718,29.35423397,金华市,义乌市,后宅街道,幼儿园,330782.0,学前教育,,01010000208A1100003085226B7A045E4040B1CB13AF5A3D40,120.07006487255576,29.354275289862134,"           format_address2
0  浙江省金华市义乌市后宅街道向日葵幼儿园遗安2区"
8,23.0,28.0,49.0,1008.0,宁波市海曙区石碶博聪幼儿园,宁波海曙区石碶街道雅戈尔达到599号,121.4875603,29.81628404,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A1100001825E82F345F5E4070299BFDF7D03D40,121.48770339493952,29.816289675906514,"      format_address2
0  浙江省宁波市海曙区石碶街道博聪幼儿园"
9,28.0,33.0,56.0,1184.0,义乌市稠江学雅幼儿园,义乌市稠江街道杨村二区67栋,120.0327009,29.29218365,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000A8BDABC517025E4080E1308CCC4A3D40,120.03275564916089,29.29188463763301,"           format_address2
0  浙江省金华市义乌市稠江街道佰草堂义乌11都酒店"
