,objectid,name,address,point_x,point_y,dsmc,qxmc,xzmc,xxlb,xzqdm,dj,gdb_geomattr_data,shape,verify_point_x,verify_point_y,verify_address
118,5434.0,义乌市江东星星幼儿园,浙江省义乌市江东街道西赵村,120.035564,29.257273,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000903A3AAE46025E40D024B1A4DC413D40,120.03568,29.2573,金华市义乌市江东街道九联西赵村99号星星幼儿园
119,5510.0,宁波神舟学校,宁波鄞州区望春工业园区杉杉路2号,121.44992,29.839286,宁波市,海曙区,古林镇,完全中学,330203.0,中等教育,,01010000208A1100004074417DCB5C5E40A0FD8172DBD63D40,121.44988,29.83946,宁波市海曙区杉杉路2号宁波神舟学校
120,5518.0,义乌市江东街道江南幼儿园,义乌市江南一区20幢22号,120.06936,29.288961,金华市,义乌市,江东街道,幼儿园,330782.0,学前教育,,01010000208A110000A0E9EC6470045E40C0D11C59F9493D40,120.069352,29.289191,金华市义乌市江南一区20幢22号江南幼儿园
121,5522.0,义乌市福田前店幼儿园,义乌市福田街道森屋村75号,120.100211,29.383289,金华市,义乌市,福田街道,幼儿园,330782.0,学前教育,,01010000208A110000C0EC65DB69065E40A0EA573A1F623D40,120.10027,29.3833500000001,金华市义乌市森屋村75号前店幼儿园
122,5524.0,义乌市大陈镇中心幼儿园,义乌市大陈镇团结村,120.109604,29.457634,金华市,义乌市,大陈镇,幼儿园,330782.0,学前教育,,01010000208A110000B0E07EC003075E40A089778027753D40,120.10955,29.45763,金华市义乌市团结村大陈镇中心幼儿园
123,5538.0,杭州市星洲小学,杭州市西湖区紫荆花路288号,120.0885092,30.2911747,杭州市,西湖区,文新街道,小学,330106.0,初等教育,,01010000208A110000E8118122AA055E4020BEC46C8A4A3E40,120.08849,30.29128,杭州市西湖区紫荆花路288杭州市星洲小学南门
124,5551.0,杭州市西湖第一实验学校,浙江省杭州市西湖区转塘街道葛衙庄社区34号,120.0511304,30.18490683,杭州市,西湖区,转塘街道,九年一贯制学校,330106.0,中等教育,,01010000208A110000F8209FB845035E40403FDC0D562F3E40,120.05114,30.18495,杭州市西湖区转塘街道葛衙庄社区34号杭州市西湖第一实验学校
125,5585.0,义乌市黄杨梅小学,浙江省义乌市北苑街道三凯路56号,120.042737,29.310215,金华市,义乌市,北苑街道,小学,330782.0,初等教育,,01010000208A1100001055F833BC025E4090BA0F406A4F3D40,120.042763,29.310326,金华市义乌市北苑街道三凯路56号义乌市黄杨梅小学
126,5586.0,义乌市稠城街道蒲公英幼儿园,义乌市稠城街道南陈13幢1单元,120.082959,29.322199,金华市,义乌市,稠城街道,幼儿园,330782.0,学前教育,,01010000208A11000028FA43334F055E40D0CD37A27B523D40,120.08297,29.3221500000001,金华市义乌市南陈13幢蒲公英幼儿园
127,5614.0,义乌市稠江街道颖颖幼儿园,义乌市稠江街道新屋新村一区9,120.031627,29.272819,金华市,义乌市,稠江街道,幼儿园,330782.0,学前教育,,01010000208A110000E8AA402D06025E4040BA4A77D7453D40,120.03167,29.27286,金华市义乌市颖颖幼儿园
128,5753.0,宁波市海曙区石碶街道城南公馆幼儿园,宁波市海曙区石碶街道石碶南路69号,121.504875,29.827889,宁波市,海曙区,石碶街道,幼儿园,330203.0,学前教育,,01010000208A11000058643BDF4F605E40E0B79388F0D33D40,121.50484,29.82795,宁波市海曙区石碶南路69号石碶街道城南公馆幼儿园
129,5756.0,义乌市艺术学校,义乌市江东街道江东新村B226,120.083383,29.30073,金华市,义乌市,江东街道,小学,330782.0,初等教育,,01010000208A110000B882A62556055E4010ED2AA4FC4C3D40,120.083328,29.30084,金华市义乌市江东新村B226浙江省义乌市艺术学校
130,5794.0,义乌市赤岸镇启明星幼儿园,义乌市赤岸镇雪峰路4号,120.027619,29.146829,金华市,义乌市,赤岸镇,幼儿园,330782.0,学前教育,,01010000208A110000E06F7B82C4015E40C01AD99596253D40,120.02762,29.14678,金华市义乌市雪峰路4启明星幼儿园
131,5808.0,义乌市稠城街道新艺幼儿园,义乌市稠城街道兴中小区25幢10号,120.096082,29.32268,金华市,义乌市,稠城街道,幼儿园,330782.0,学前教育,,01010000208A11000000EF1D3526065E40C0120F289B523D40,120.096032,29.322571,金华市义乌市兴中小区25幢10号新艺幼儿园
132,5828.0,杭州市紫荆花学校,浙江省杭州市西湖区竞舟路222号,120.099991,30.28640715,杭州市,西湖区,文新街道,弱智学校,330106.0,特殊教育,,01010000208A11000058ACD14066065E40300096FA51493E40,120.1,30.28635,杭州市西湖区竞舟路222杭州市紫荆花学校
133,5898.0,义乌市夏演小学,浙江省义乌市城西街道夏桥街48号,119.963767,29.294695,金华市,义乌市,城西街道,小学,330782.0,初等教育,,01010000208A110000B07DC85BAEFD5D40704BAB21714B3D40,119.963758,29.294798,金华市义乌市夏桥街48号义乌市夏演小学
134,5911.0,德清县新市镇士林中心幼儿园,浙江省湖州市德清县新市镇士林居委会,120.1954932,30.59420686,湖州市,德清县,新市镇,幼儿园,330521.0,学前教育,,01010000208A11000048E010F6820C5E4050F0E7F01D983E40,120.1955,30.59419,湖州市德清县远景路129正南方向104米新市镇士林中心幼儿园
135,5925.0,杭州市余杭区乾元中心小学,杭州市余杭区东湖街道乾元社区假山前2号,120.268169,30.457634,杭州市,余杭区,临平街道,小学,330110.0,初等教育,,01010000208A11000040334FAE29115E40A089778027753E40,120.268112,30.457529,杭州市临平区假山前2乾元中心小学
136,6063.0,义乌市城西街道新江村幼儿园,浙江省义乌市城西街道西俞下东溪6号,119.995573,29.319082,金华市,义乌市,城西街道,幼儿园,330782.0,学前教育,,01010000208A110000F8F1D077B7FF5D4000BEA25BAF513D40,119.99554,29.319,金华市义乌市新江村新江幼儿园
137,6070.0,杭州市余杭区崇贤中学,杭州市余杭区崇贤街道向阳村骆家塘79号,120.160297,30.388228,杭州市,余杭区,崇贤街道,初级中学,330110.0,中等教育,,01010000208A1100006829594E420A5E40406403E962633E40,120.16044,30.38812,杭州市临平区崇贤镇向阳村崇贤中学
138,6099.0,义乌市上溪镇上溪幼儿园,义乌市上溪镇三村,119.931433,29.287244,金华市,义乌市,上溪镇,幼儿园,330782.0,学前教育,,01010000208A110000905A28999CFB5D40E0F8A1D288493D40,119.93154,29.28741,金华市义乌市文明北路68号义乌市上溪幼儿园
139,6100.0,德清县洛舍镇中心幼儿园,德清县洛舍镇昌达路37号,120.080841,30.6376041,湖州市,德清县,洛舍镇,幼儿园,330521.0,学前教育,,01010000208A1100009801DB7F2C055E40A01DA4053AA33E40,120.080859,30.637601,湖州市德清县复兴南路26洛舍镇中心幼儿园
140,6123.0,宁波市海曙区气象路幼儿园,宁波市海曙区气象路667号,121.506873,29.86253,宁波市,海曙区,段塘街道,幼儿园,330203.0,学前教育,,01010000208A110000708E739B70605E40A0D11DC4CEDC3D40,121.506873009,29.8625299920001,宁波市海曙区宁波市海曙区段塘街道气象路667号宁波市海曙区气象路幼儿园
141,6133.0,义乌市苏溪镇永新幼儿园,义乌市苏溪镇永康路128号,120.128819,29.419545,金华市,义乌市,苏溪镇,幼儿园,330782.0,学前教育,,01010000208A110000A0060C923E085E405033164D676B3D40,120.12894,29.4198000000001,金华市义乌市苏溪永康路128号永新幼儿园
