,name,address,point_x,point_y,specify,dataType
87,杭州市方家塘幼儿园,浙江省杭州市拱墅区浙江省杭州市西湖区,120.09736,30.31442,西湖区,幼儿园
88,杭州市西湖区石灰桥幼儿园,浙江省杭州市西湖区莫干山路491号西南方向150米,120.1401,30.28748,西湖区,幼儿园
89,转塘第二幼儿园,浙江省杭州市西湖区方家苑商002东北方向120米,120.06894,30.1649,西湖区,幼儿园
90,闻裕顺学前教育集团午山幼儿园,浙江省杭州市西湖区转塘镇丽景路转塘家园商铺东南方向117米,120.08296,30.16674,西湖区,幼儿园
91,白荡海幼儿园,浙江省杭州市西湖区文一路66,120.13841,30.29204,西湖区,幼儿园
92,翠苑第一幼儿园,浙江省杭州市西湖区翠苑新村一区49,120.12303,30.28871,西湖区,幼儿园
93,枫华府第幼儿园,浙江省杭州市西湖区华星路6-2,120.12213,30.28204,西湖区,幼儿园
94,三墩镇中心幼儿园,浙江省杭州市西湖区庙前街55,120.07765,30.32218,西湖区,幼儿园
95,杭州市西湖区慧仁家园幼儿园,浙江省杭州市西湖区墩祥街398西南方向198米,120.072,30.33228,西湖区,幼儿园
96,转塘第一幼儿园,浙江省杭州市西湖区梦园街横桥沈合苑停车场内正南方向57米,120.0624,30.16236,西湖区,幼儿园
97,回龙幼儿园,浙江省杭州市西湖区转塘镇南村正南方向110米,120.098436,30.126068,西湖区,幼儿园
98,文新学前教育集团紫萱幼儿园,浙江省杭州市西湖区紫宣路308东南方向192米,120.0662,30.32944,西湖区,幼儿园
99,西湖区闻裕顺学前教育集团闻裕顺幼儿园,浙江省杭州市西湖区里东山弄,120.12491,30.26073,西湖区,幼儿园
100,杭州市西湖区海鸿幼儿园,浙江省杭州市西湖区临秀苑底商9,120.06674,30.34656,西湖区,幼儿园
101,杭州市金都中心幼儿园,浙江省杭州市西湖区古墩路415,120.09263,30.28757,西湖区,幼儿园
102,杭州市西湖区启蒙幼儿园,浙江省杭州市西湖区灯彩街50,120.08349,30.32901,西湖区,幼儿园
103,杭州市西湖区三坝幼儿园金地园区,浙江省杭州市西湖区厚仁路369号三墩新天地商业中心13幢正东方向155米,120.07061,30.33626,西湖区,幼儿园
104,西溪花园幼儿园,浙江省杭州市西湖区晴川街与崇义路交叉路口白荻苑内,120.0558,30.28618,西湖区,幼儿园
105,西溪花园幼儿园竞舟苑园区,浙江省杭州市西湖区晴川街571,120.05138,30.28575,西湖区,幼儿园
106,杭州市西湖区九莲幼儿园,浙江省杭州市西湖区九莲新村1号,120.12879,30.27989,西湖区,幼儿园
107,名苑学前教育集团和家园幼儿园,浙江省杭州市西湖区留下镇杨梅山路305号,120.05874,30.238,西湖区,幼儿园
108,文新学前教育集团金地幼儿园,浙江省杭州市西湖区欣然街88东南方向96米,120.06452,30.33291,西湖区,幼儿园
109,三墩镇中心幼儿园阳光嘉苑园区,浙江省杭州市西湖区周坪路29,120.06511,30.34009,西湖区,幼儿园
110,北山幼儿园嘉绿西苑园区,浙江省杭州市西湖区嘉绿苑西39,120.10552,30.28245,西湖区,幼儿园
111,杭州市西湖区智多星幼儿园,浙江省杭州市西湖区振华路245正东方向20米,120.07042,30.31973,西湖区,幼儿园
112,西湖区小天使幼儿园,浙江省杭州市西湖区双浦镇外张村委旁左侧,120.14808,30.11965,西湖区,幼儿园
113,浙江大学幼儿园玉泉分园,浙江省杭州市西湖区浙大路18浙大求是社区,120.125354,30.264991,西湖区,幼儿园
114,闻裕顺学前教育集团之江幼儿园,浙江省杭州市西湖区枫桦路1号珊瑚沙家园,120.09626,30.16656,西湖区,幼儿园
115,杭州市西湖区古荡幼儿园,浙江省杭州市西湖区古荡东区36幢,120.11304,30.27719,西湖区,幼儿园
116,小桔灯幼儿园,浙江省杭州市西湖区杨家牌楼2号,120.07032,30.24229,西湖区,幼儿园
117,浙江省级机关北山幼儿园,浙江省杭州市西湖区保俶路45,120.14616,30.26496,西湖区,幼儿园
118,枫华府第幼儿园庆丰园区,浙江省杭州市西湖区玉古路165-1,120.12316,30.26905,西湖区,幼儿园
119,申花路幼儿园申花路园区,浙江省杭州市西湖区竞舟北路191,120.09425,30.31303,西湖区,幼儿园
120,杭州市西湖区翠苑第四幼儿园,浙江省杭州市西湖区浙江省杭州市西湖区,120.11707,30.28873,西湖区,幼儿园
121,杭州市西湖区金太阳幼儿园,浙江省杭州市西湖区西溪路643正北方向145米,120.08625,30.25829,西湖区,幼儿园
122,新世纪幼儿园,浙江省杭州市西湖区古墩路1105新世纪花苑,120.085917,30.327108,西湖区,幼儿园
123,浙江大学西溪幼儿园,浙江省杭州市西湖区天目山路148号浙江大学西溪校区,120.13814,30.27681,西湖区,幼儿园
124,杭州市文三教育集团九莲小学,浙江省杭州市西湖区影业路55,120.12842,30.28127,西湖区,小学
125,育才教育集团第二实验学校,浙江省杭州市西湖区黄姑山横路70,120.12672,30.27701,西湖区,小学
126,杭州市西湖区教师进修学校附属小学,浙江省杭州市西湖区影业路55,120.12842,30.28127,西湖区,小学
127,杭州市大禹路小学甲来路校区,浙江省杭州市西湖区甲来路86,120.06224,30.34223,西湖区,小学
128,杭州市文溪小学,浙江省杭州市西湖区凌波路8号,120.051563,30.282808,西湖区,小学
129,转塘小学象山校区,浙江省杭州市西湖区方家畈244号,120.07895,30.15633,西湖区,小学
130,杭州市省府路小学秋水苑校区,浙江省杭州市西湖区莲花街108,120.10244,30.2751,西湖区,小学
131,求是(和家园)小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.05952,30.24242,西湖区,小学
132,莫干山路小学(和苑校区),浙江省杭州市西湖区竞舟北路120号,120.096811,30.306724,西湖区,小学
133,学军小学紫金港校区,浙江省杭州市西湖区萍水西街198,120.0899,30.3027,西湖区,小学
134,杭州市西湖第一实验学校,浙江省杭州市西湖区转塘街道葛衙庄社区34号,120.05114,30.18495,西湖区,小学
135,转塘小学(凌家桥校区),浙江省杭州市西湖区凌家桥,120.075945,30.139296,西湖区,小学
136,杭州市求是教育集团(浙江大学附属小学),浙江省杭州市西湖区浙大路18号,120.124211,30.26296,西湖区,小学
137,杭州市文三街小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.13968,30.27919,西湖区,小学
138,浙江省教育厅教研室附属小学南区,浙江省杭州市西湖区高技街9正西方向108米,120.11674,30.2871,西湖区,小学
139,杭州绿城育华小学,浙江省杭州市西湖区文一西路532-1正北方向197米,120.08,30.29304,西湖区,小学
140,杭州市文三教育集团(总校),浙江省杭州市西湖区上宁巷1号,120.13968,30.27919,西湖区,小学
141,文一街小学(政苑校区),浙江省杭州市西湖区政苑小区73幢2号,120.096642,30.299874,西湖区,小学
142,袁浦东江嘴小学,浙江省杭州市西湖区浙江省杭州市西湖区,120.162462,30.112116,西湖区,小学
143,杭州市三墩镇长桥小学,浙江省杭州市西湖区双桥村徐家塘,120.03008,30.31627,西湖区,小学
144,杭州市大禹路小学(大禹路校区),浙江省杭州市西湖区大禹路金兰巷2号,120.078328,30.330801,西湖区,小学
145,杭州市翠苑第一小学(文华校区),浙江省杭州市西湖区竞舟路299,120.09762,30.29288,西湖区,小学
146,西湖小学教育集团府苑小学,浙江省杭州市西湖区府苑新村,120.0885,30.27061,西湖区,小学
147,转塘小学回龙校区,浙江省杭州市西湖区转塘街道南村225号东北方向193米,120.0923,30.12415,西湖区,小学
148,杭州市行知小学文二校区,浙江省杭州市西湖区文二路277,120.12633,30.28486,西湖区,小学
